sehir,semt,ev_tipi,oda_sayisi,net_metrekare,brut_metrekare,bina_yasi,bulundugu_kat,kat_sayisi,banyo_sayisi,balkon,isitma_tipi,otopark,site_ici,esyali_durum,fiyat_tl
Kayseri,Zeytinburnu,Rezidans,1+1,105,120,0-5,14,2,3,Var,Yerden Isıtma,Yok,Evet,Eşyalı,426499
Konya,Şişli,Dubleks,1+0,175,200,0-5,6,14,2,Yok,Merkezi,Yok,Evet,Yarı Eşyalı,1023273
İstanbul,Maltepe,Müstakil Ev,4+2,140,181,0-5,Bahçe Katı,1,1,Yok,Kombi,Yok,Hayır,Yarı Eşyalı,2917060
Samsun,Merkez,Müstakil Ev,1+1,284,318,6-10,Bahçe Katı,2,3,Yok,Merkezi,Kapalı Otopark,Evet,Eşyasız,2073786
Adana,Kartal,Tripleks,5+1,211,261,0-5,9,8,5,Yok,Klima,Kapalı Otopark,Evet,Eşyasız,1096926
Şanlıurfa,Bakırköy,Rezidans,5+2,212,241,11-15,15,8,1,Yok,Kombi,Açık Otopark,Hayır,Eşyalı,526854
Şanlıurfa,Fatih,Villa,3+1,388,426,30+,Bahçe Katı,3,5,Var,Yerden Isıtma,Açık Otopark,Evet,Eşyalı,724883
Adana,Kartal,Dubleks,1+1,166,210,11-15,3,8,1,Var,Doğalgaz,Var,Evet,Eşyasız,819854
Antalya,Beyoğlu,Müstakil Ev,4+2,288,359,11-15,Bahçe Katı,3,4,Yok,Soba,Var,Hayır,Yarı Eşyalı,2755660
Kayseri,Silivri,Rezidans,4+2,164,197,0-5,4,4,4,Yok,Soba,Kapalı Otopark,Hayır,Yarı Eşyalı,858215
Denizli,Zeytinburnu,Tripleks,3+1,199,220,11-15,1,3,3,Yok,Doğalgaz,Açık Otopark,Evet,Yarı Eşyalı,1371186
Konya,Pendik,Rezidans,5+1,212,269,30+,9,15,1,Var,Merkezi,Var,Evet,Eşyasız,911777
Eskişehir,Beylikdüzü,Daire,4+2,168,187,16-20,14,14,2,Var,Doğalgaz,Kapalı Otopark,Hayır,Eşyasız,831284
Antalya,Beyoğlu,Daire,3+1,108,131,30+,6,14,3,Yok,Doğalgaz,Kapalı Otopark,Hayır,Eşyasız,540888
Diyarbakır,Merkez,Tripleks,1+0,284,316,26-30,15,19,1,Yok,Kombi,Yok,Hayır,Yarı Eşyalı,982920
Denizli,Arnavutköy,Villa,4+1,488,601,11-15,Bahçe Katı,3,1,Var,Merkezi,Kapalı Otopark,Evet,Eşyalı,2160434
Mersin,Büyükçekmece,Villa,3+1,461,570,6-10,Bahçe Katı,3,3,Yok,Klima,Yok,Evet,Eşyalı,4408898
Gaziantep,Merkez,Daire,5+2,213,269,6-10,8,14,4,Var,Soba,Var,Evet,Eşyalı,818004
Ankara,Çatalca,Dubleks,4+1,276,354,16-20,9,10,5,Var,Merkezi,Kapalı Otopark,Hayır,Eşyalı,2002134
Diyarbakır,Beylikdüzü,Müstakil Ev,4+2,265,320,16-20,Bahçe Katı,3,2,Var,Klima,Yok,Hayır,Yarı Eşyalı,820095
İstanbul,Fatih,Daire,4+2,142,182,16-20,9,3,3,Var,Klima,Var,Evet,Yarı Eşyalı,1724192
Adana,Kadıköy,Daire,4+1,200,223,11-15,13,12,5,Var,Klima,Kapalı Otopark,Evet,Yarı Eşyalı,1512786
Denizli,Bakırköy,Dubleks,5+1,220,281,16-20,10,11,4,Yok,Klima,Var,Evet,Yarı Eşyalı,687151
Eskişehir,Beyoğlu,Dubleks,4+2,193,247,30+,3,16,5,Yok,Kombi,Var,Evet,Eşyalı,936283
Şanlıurfa,Beylikdüzü,Tripleks,5+2,223,275,21-25,3,5,2,Var,Merkezi,Açık Otopark,Hayır,Eşyalı,685743
Şanlıurfa,Beyoğlu,Daire,2+1,116,134,21-25,11,11,3,Yok,Doğalgaz,Açık Otopark,Evet,Eşyasız,232221
Denizli,Şişli,Daire,4+2,143,176,11-15,10,8,3,Var,Merkezi,Var,Hayır,Eşyalı,604316
İstanbul,Üsküdar,Daire,4+1,178,214,11-15,14,3,5,Var,Soba,Kapalı Otopark,Evet,Yarı Eşyalı,1871766
Bursa,Çatalca,Rezidans,4+2,186,215,30+,1,13,5,Var,Doğalgaz,Yok,Hayır,Eşyalı,1075435
Samsun,Çatalca,Rezidans,2+1,247,282,11-15,11,18,1,Var,Yerden Isıtma,Kapalı Otopark,Evet,Eşyalı,751413
Ankara,Küçükçekmece,Tripleks,1+0,337,433,30+,14,19,2,Yok,Yerden Isıtma,Kapalı Otopark,Evet,Eşyasız,1235828
Diyarbakır,Beyoğlu,Müstakil Ev,1+1,214,245,6-10,Bahçe Katı,3,3,Yok,Klima,Var,Evet,Eşyasız,1318476
Bursa,Zeytinburnu,Villa,5+2,237,271,26-30,Bahçe Katı,3,2,Yok,Yerden Isıtma,Açık Otopark,Evet,Eşyalı,2959251
Bursa,Büyükçekmece,Tripleks,4+1,203,234,11-15,13,7,5,Var,Merkezi,Kapalı Otopark,Evet,Eşyalı,1635690
İstanbul,Bahçelievler,Müstakil Ev,4+1,202,225,26-30,Bahçe Katı,1,2,Yok,Doğalgaz,Açık Otopark,Evet,Eşyalı,5079990
Konya,Bahçelievler,Müstakil Ev,1+1,294,360,16-20,Bahçe Katı,3,5,Yok,Yerden Isıtma,Yok,Hayır,Yarı Eşyalı,767908
Samsun,Eminönü,Müstakil Ev,3+1,178,203,16-20,Bahçe Katı,1,4,Yok,Kombi,Açık Otopark,Hayır,Eşyalı,1353187
Şanlıurfa,Fatih,Daire,4+1,191,230,30+,11,1,2,Yok,Soba,Açık Otopark,Hayır,Eşyalı,236175
Eskişehir,Maltepe,Müstakil Ev,2+1,297,377,30+,Bahçe Katı,3,3,Var,Yerden Isıtma,Yok,Hayır,Eşyalı,1867108
Adana,Maltepe,Villa,2+1,349,393,16-20,Bahçe Katı,1,3,Var,Merkezi,Kapalı Otopark,Evet,Eşyasız,2877764
Şanlıurfa,Şişli,Villa,1+0,208,253,21-25,Bahçe Katı,2,4,Var,Doğalgaz,Açık Otopark,Evet,Eşyasız,487866
Adana,Çankaya,Müstakil Ev,4+2,203,249,6-10,Bahçe Katı,2,4,Var,Soba,Var,Hayır,Yarı Eşyalı,1492635
Mersin,Büyükçekmece,Tripleks,3+1,193,217,21-25,5,15,5,Yok,Klima,Kapalı Otopark,Hayır,Eşyalı,789197
İzmir,Şişli,Daire,4+2,178,199,16-20,10,5,1,Yok,Kombi,Var,Evet,Eşyalı,2574507
Kayseri,Ataşehir,Rezidans,2+1,222,266,16-20,13,5,3,Yok,Doğalgaz,Açık Otopark,Hayır,Yarı Eşyalı,998754
Diyarbakır,Maltepe,Müstakil Ev,1+0,153,188,30+,Bahçe Katı,3,3,Var,Klima,Kapalı Otopark,Hayır,Eşyalı,526891
Antalya,Ataşehir,Villa,5+1,269,321,11-15,Bahçe Katı,2,3,Yok,Doğalgaz,Kapalı Otopark,Evet,Eşyalı,3818443
Adana,Merkez,Müstakil Ev,1+0,192,247,16-20,Bahçe Katı,2,2,Yok,Doğalgaz,Yok,Hayır,Yarı Eşyalı,763348
Samsun,Çankaya,Müstakil Ev,5+2,141,155,30+,Bahçe Katı,2,5,Var,Soba,Yok,Evet,Eşyalı,533716
Şanlıurfa,Beylikdüzü,Rezidans,5+1,248,276,26-30,10,4,5,Yok,Yerden Isıtma,Açık Otopark,Evet,Yarı Eşyalı,372259
Bursa,Üsküdar,Müstakil Ev,3+1,180,200,26-30,Bahçe Katı,3,3,Yok,Klima,Kapalı Otopark,Hayır,Eşyalı,1409694
Adana,Kadıköy,Daire,5+1,196,217,6-10,13,5,5,Var,Yerden Isıtma,Var,Hayır,Eşyasız,1628443
Şanlıurfa,Eminönü,Daire,3+1,156,189,6-10,7,16,1,Yok,Kombi,Var,Evet,Eşyasız,888784
İstanbul,Çankaya,Rezidans,2+1,92,103,16-20,15,3,4,Yok,Yerden Isıtma,Var,Evet,Eşyasız,2678723
Eskişehir,Fatih,Daire,3+1,134,166,16-20,10,15,3,Yok,Yerden Isıtma,Yok,Hayır,Yarı Eşyalı,605628
Ankara,Şişli,Müstakil Ev,1+1,292,359,30+,Bahçe Katı,3,2,Yok,Yerden Isıtma,Kapalı Otopark,Evet,Eşyasız,1097080
Eskişehir,Bağcılar,Müstakil Ev,5+1,283,365,16-20,Bahçe Katı,3,5,Yok,Merkezi,Kapalı Otopark,Hayır,Eşyasız,2136400
Kayseri,Bağcılar,Tripleks,5+1,301,355,30+,8,19,2,Yok,Soba,Yok,Hayır,Yarı Eşyalı,1336171
Ankara,Çatalca,Dubleks,3+1,177,206,21-25,4,6,1,Yok,Merkezi,Açık Otopark,Hayır,Eşyasız,934084
Eskişehir,Küçükçekmece,Müstakil Ev,5+1,216,278,30+,Bahçe Katı,2,2,Var,Soba,Yok,Hayır,Eşyasız,1042035
Konya,Büyükçekmece,Müstakil Ev,2+1,162,193,0-5,Bahçe Katı,2,5,Var,Doğalgaz,Yok,Evet,Yarı Eşyalı,1257383
Kayseri,Zeytinburnu,Tripleks,3+1,176,219,0-5,7,6,5,Var,Klima,Var,Hayır,Eşyasız,766044
Mersin,Şişli,Daire,1+0,51,63,30+,6,15,5,Yok,Yerden Isıtma,Açık Otopark,Hayır,Eşyasız,199481
Ankara,Zeytinburnu,Tripleks,3+1,193,236,26-30,14,8,1,Var,Merkezi,Yok,Evet,Eşyasız,1894085
Adana,Zeytinburnu,Müstakil Ev,1+1,216,259,11-15,Bahçe Katı,2,4,Var,Doğalgaz,Yok,Evet,Eşyasız,2308552
Ankara,Çatalca,Villa,1+0,446,500,0-5,Bahçe Katı,2,1,Var,Kombi,Kapalı Otopark,Evet,Eşyalı,7791301
İstanbul,Bahçelievler,Tripleks,4+1,174,204,30+,11,20,5,Var,Doğalgaz,Yok,Evet,Eşyalı,3309144
Denizli,Beylikdüzü,Villa,1+1,291,331,21-25,Bahçe Katı,3,4,Yok,Soba,Yok,Hayır,Eşyalı,1291429
Ankara,Bakırköy,Villa,5+1,297,340,21-25,Bahçe Katı,1,5,Yok,Soba,Yok,Hayır,Yarı Eşyalı,3182983
İstanbul,Fatih,Daire,1+0,75,93,21-25,9,12,1,Var,Doğalgaz,Yok,Hayır,Yarı Eşyalı,888211
Adana,Merkez,Daire,3+1,140,157,30+,2,12,5,Yok,Yerden Isıtma,Yok,Hayır,Yarı Eşyalı,512191
Bursa,Maltepe,Daire,5+2,193,241,21-25,12,8,5,Var,Kombi,Yok,Evet,Eşyasız,1390187
Gaziantep,Avcılar,Dubleks,5+1,245,314,0-5,1,5,5,Var,Soba,Açık Otopark,Hayır,Eşyalı,2257837
Antalya,Zeytinburnu,Müstakil Ev,4+1,247,280,6-10,Bahçe Katı,2,3,Var,Soba,Var,Hayır,Yarı Eşyalı,2855876
Gaziantep,Çankaya,Tripleks,5+1,251,300,26-30,5,19,4,Yok,Kombi,Kapalı Otopark,Hayır,Eşyasız,1122554
Adana,Beşiktaş,Rezidans,1+0,142,173,11-15,15,7,3,Var,Yerden Isıtma,Kapalı Otopark,Hayır,Eşyalı,994111
Bursa,Pendik,Dubleks,5+2,243,284,16-20,11,9,1,Var,Klima,Yok,Hayır,Yarı Eşyalı,2588630
Bursa,Arnavutköy,Villa,4+1,346,415,30+,Bahçe Katı,3,4,Var,Doğalgaz,Var,Evet,Eşyalı,3734875
Adana,Şişli,Daire,2+1,84,105,30+,14,2,3,Var,Doğalgaz,Açık Otopark,Evet,Eşyasız,353617
Şanlıurfa,Küçükçekmece,Dubleks,5+2,311,363,26-30,8,17,2,Yok,Yerden Isıtma,Var,Hayır,Yarı Eşyalı,676993
İstanbul,Arnavutköy,Müstakil Ev,1+0,260,335,16-20,Bahçe Katı,1,2,Yok,Kombi,Yok,Evet,Yarı Eşyalı,7125160
Bursa,Silivri,Villa,5+1,246,304,30+,Bahçe Katı,3,2,Var,Soba,Açık Otopark,Hayır,Eşyalı,1405612
Antalya,Çatalca,Müstakil Ev,3+1,276,334,6-10,Bahçe Katı,1,4,Yok,Kombi,Kapalı Otopark,Evet,Eşyasız,2795980
Denizli,Kadıköy,Rezidans,5+2,207,241,11-15,6,18,5,Yok,Yerden Isıtma,Kapalı Otopark,Hayır,Eşyasız,456685
Antalya,Küçükçekmece,Villa,5+2,411,496,21-25,Bahçe Katı,2,5,Var,Merkezi,Açık Otopark,Evet,Eşyasız,3728553
Kayseri,Çatalca,Müstakil Ev,3+1,198,243,6-10,Bahçe Katı,1,4,Yok,Yerden Isıtma,Var,Evet,Eşyalı,1832078
Konya,Beşiktaş,Villa,1+0,353,407,30+,Bahçe Katı,1,2,Yok,Merkezi,Yok,Hayır,Yarı Eşyalı,1058859
Diyarbakır,Çatalca,Müstakil Ev,4+2,141,163,16-20,Bahçe Katı,3,1,Var,Soba,Yok,Hayır,Eşyalı,570934
İstanbul,Silivri,Daire,5+1,210,237,11-15,7,14,2,Var,Merkezi,Kapalı Otopark,Evet,Eşyasız,3646383
Şanlıurfa,Eminönü,Daire,5+2,280,342,26-30,9,15,1,Yok,Doğalgaz,Açık Otopark,Evet,Eşyasız,846623
Denizli,Zeytinburnu,Tripleks,1+0,192,217,21-25,15,7,5,Var,Soba,Kapalı Otopark,Evet,Eşyalı,987972
Samsun,Kartal,Villa,1+0,406,517,11-15,Bahçe Katı,1,2,Var,Kombi,Kapalı Otopark,Evet,Eşyasız,3202853
Ankara,Maltepe,Müstakil Ev,5+2,226,273,26-30,Bahçe Katı,2,1,Var,Soba,Var,Hayır,Eşyasız,2391960
İstanbul,Bakırköy,Müstakil Ev,5+2,151,178,11-15,Bahçe Katı,2,4,Var,Klima,Var,Hayır,Yarı Eşyalı,3160386
Eskişehir,Ataşehir,Rezidans,3+1,228,291,26-30,1,4,5,Yok,Kombi,Açık Otopark,Evet,Yarı Eşyalı,610352
Eskişehir,Kartal,Daire,5+2,275,335,16-20,9,14,1,Var,Yerden Isıtma,Yok,Evet,Yarı Eşyalı,2029673
İzmir,Arnavutköy,Villa,2+1,282,349,21-25,Bahçe Katı,1,1,Yok,Merkezi,Var,Hayır,Eşyasız,4162111
Konya,Büyükçekmece,Rezidans,2+1,165,194,11-15,13,11,3,Yok,Klima,Yok,Hayır,Eşyalı,1077281
Bursa,Bağcılar,Müstakil Ev,3+1,192,238,21-25,Bahçe Katı,1,4,Yok,Klima,Açık Otopark,Hayır,Yarı Eşyalı,1900578
Diyarbakır,Büyükçekmece,Villa,4+1,238,309,26-30,Bahçe Katı,3,1,Var,Merkezi,Açık Otopark,Evet,Yarı Eşyalı,1453914
Bursa,Şişli,Rezidans,5+2,220,263,26-30,2,6,5,Yok,Kombi,Yok,Evet,Yarı Eşyalı,1203666
Konya,Bağcılar,Rezidans,4+1,171,206,21-25,6,20,2,Var,Klima,Var,Hayır,Yarı Eşyalı,809676
Şanlıurfa,Zeytinburnu,Daire,4+2,143,176,21-25,4,3,2,Var,Yerden Isıtma,Var,Evet,Eşyasız,251930
Eskişehir,Beşiktaş,Tripleks,5+1,168,193,11-15,6,4,4,Yok,Kombi,Yok,Evet,Eşyalı,597806
Ankara,Bahçelievler,Daire,2+1,78,96,16-20,11,11,1,Var,Klima,Var,Hayır,Eşyasız,329638
Kayseri,Beyoğlu,Rezidans,2+1,215,269,0-5,3,10,4,Var,Soba,Kapalı Otopark,Hayır,Eşyalı,908899
Antalya,Şişli,Dubleks,4+2,297,377,11-15,12,11,1,Yok,Yerden Isıtma,Var,Evet,Eşyasız,2822324
Samsun,Çatalca,Daire,5+1,234,259,26-30,5,19,2,Var,Kombi,Var,Evet,Yarı Eşyalı,1013683
Denizli,Merkez,Dubleks,3+1,156,177,11-15,2,13,3,Yok,Doğalgaz,Var,Hayır,Eşyalı,971061
Mersin,Avcılar,Rezidans,5+1,196,222,30+,6,18,1,Yok,Soba,Kapalı Otopark,Evet,Eşyalı,467669
Antalya,Çankaya,Rezidans,2+1,221,283,0-5,1,2,3,Yok,Doğalgaz,Açık Otopark,Hayır,Eşyalı,2510147
İzmir,Büyükçekmece,Villa,5+1,466,548,6-10,Bahçe Katı,3,2,Var,Yerden Isıtma,Var,Evet,Eşyasız,9561089
Konya,Kartal,Villa,5+1,379,485,0-5,Bahçe Katı,2,4,Yok,Merkezi,Kapalı Otopark,Hayır,Yarı Eşyalı,3018029
Eskişehir,Eminönü,Daire,5+1,235,300,21-25,9,2,1,Yok,Doğalgaz,Yok,Evet,Yarı Eşyalı,1282024
İstanbul,Beşiktaş,Villa,3+1,272,338,0-5,Bahçe Katı,2,2,Var,Soba,Var,Hayır,Eşyasız,9983987
Bursa,Bağcılar,Rezidans,1+0,185,211,0-5,3,2,3,Var,Yerden Isıtma,Yok,Evet,Eşyalı,1227210
Kayseri,Fatih,Villa,1+1,337,410,16-20,Bahçe Katı,2,4,Yok,Doğalgaz,Açık Otopark,Evet,Yarı Eşyalı,2327899
İstanbul,Kartal,Rezidans,2+1,231,254,0-5,2,12,2,Yok,Yerden Isıtma,Yok,Hayır,Eşyalı,7754669
Antalya,Ataşehir,Tripleks,2+1,324,402,11-15,2,10,4,Yok,Doğalgaz,Var,Evet,Eşyasız,7041972
Eskişehir,Bahçelievler,Villa,1+0,481,556,11-15,Bahçe Katı,3,1,Var,Doğalgaz,Kapalı Otopark,Hayır,Eşyalı,2954750
İstanbul,Bağcılar,Villa,3+1,389,449,16-20,Bahçe Katı,3,5,Yok,Klima,Yok,Hayır,Yarı Eşyalı,9293003
Antalya,Arnavutköy,Rezidans,4+2,165,200,6-10,14,19,1,Var,Yerden Isıtma,Kapalı Otopark,Hayır,Eşyasız,3456068
Konya,Pendik,Daire,4+2,193,222,30+,2,5,1,Yok,Yerden Isıtma,Kapalı Otopark,Hayır,Eşyasız,424487
İzmir,Kadıköy,Daire,3+1,149,175,11-15,13,15,5,Var,Yerden Isıtma,Yok,Hayır,Eşyalı,1023998
Kayseri,Beylikdüzü,Villa,2+1,383,468,6-10,Bahçe Katı,1,3,Yok,Yerden Isıtma,Açık Otopark,Evet,Yarı Eşyalı,4296318
Kayseri,Pendik,Villa,2+1,470,565,26-30,Bahçe Katı,1,4,Var,Kombi,Yok,Evet,Eşyasız,2408986
Denizli,Eminönü,Dubleks,5+2,280,349,0-5,1,13,5,Yok,Merkezi,Kapalı Otopark,Evet,Eşyasız,2346772
Samsun,Kadıköy,Villa,1+0,419,514,11-15,Bahçe Katı,2,1,Var,Kombi,Var,Evet,Yarı Eşyalı,3616778
Samsun,Üsküdar,Rezidans,4+2,83,106,6-10,11,6,5,Var,Kombi,Kapalı Otopark,Hayır,Yarı Eşyalı,354290
Gaziantep,Üsküdar,Dubleks,1+1,322,378,6-10,3,15,1,Var,Klima,Kapalı Otopark,Hayır,Yarı Eşyalı,2421299
Eskişehir,Şişli,Tripleks,1+1,306,341,26-30,13,20,1,Var,Yerden Isıtma,Yok,Hayır,Eşyasız,1284273
Gaziantep,Küçükçekmece,Rezidans,2+1,153,169,30+,14,20,4,Var,Klima,Kapalı Otopark,Evet,Yarı Eşyalı,427300
Konya,Küçükçekmece,Dubleks,1+1,221,260,21-25,11,5,4,Yok,Soba,Var,Evet,Yarı Eşyalı,857898
Ankara,Merkez,Daire,2+1,109,124,6-10,15,6,2,Var,Klima,Açık Otopark,Evet,Eşyalı,1327432
Gaziantep,Kartal,Müstakil Ev,5+1,245,280,0-5,Bahçe Katı,3,5,Yok,Soba,Kapalı Otopark,Evet,Yarı Eşyalı,1031198
Samsun,Eminönü,Müstakil Ev,4+2,247,305,0-5,Bahçe Katı,1,5,Var,Soba,Açık Otopark,Evet,Eşyalı,2832436
Samsun,Ataşehir,Dubleks,2+1,175,217,16-20,10,4,5,Yok,Yerden Isıtma,Var,Hayır,Eşyalı,896607
Şanlıurfa,Maltepe,Daire,5+1,245,297,26-30,14,1,1,Var,Doğalgaz,Kapalı Otopark,Hayır,Yarı Eşyalı,312985
İstanbul,Üsküdar,Rezidans,5+2,179,211,6-10,9,13,1,Yok,Yerden Isıtma,Açık Otopark,Evet,Eşyasız,3047295
Antalya,Çankaya,Villa,4+1,459,527,30+,Bahçe Katı,3,2,Yok,Yerden Isıtma,Açık Otopark,Evet,Eşyasız,5466022
İstanbul,Beşiktaş,Rezidans,1+0,228,293,6-10,14,7,2,Var,Merkezi,Kapalı Otopark,Hayır,Yarı Eşyalı,3879985
Bursa,Küçükçekmece,Müstakil Ev,4+1,169,195,21-25,Bahçe Katı,3,2,Yok,Doğalgaz,Kapalı Otopark,Hayır,Eşyalı,1440254
İzmir,Küçükçekmece,Müstakil Ev,5+1,185,210,6-10,Bahçe Katı,1,2,Yok,Merkezi,Yok,Evet,Eşyalı,1597744
Konya,Zeytinburnu,Villa,4+2,246,309,26-30,Bahçe Katı,1,3,Var,Kombi,Açık Otopark,Hayır,Eşyasız,1074767
İstanbul,Beşiktaş,Müstakil Ev,1+1,236,270,0-5,Bahçe Katı,2,2,Yok,Klima,Kapalı Otopark,Hayır,Eşyasız,7997983
Konya,Maltepe,Villa,4+1,219,272,11-15,Bahçe Katı,3,2,Var,Kombi,Var,Hayır,Eşyasız,1589383
İstanbul,Bahçelievler,Müstakil Ev,4+2,229,254,6-10,Bahçe Katı,2,1,Yok,Merkezi,Kapalı Otopark,Evet,Eşyalı,6110568
İstanbul,Büyükçekmece,Müstakil Ev,3+1,298,379,16-20,Bahçe Katı,2,1,Var,Doğalgaz,Açık Otopark,Hayır,Eşyalı,7472686
Adana,Üsküdar,Villa,1+0,492,597,30+,Bahçe Katı,3,1,Var,Kombi,Açık Otopark,Evet,Eşyalı,3100591
Adana,Fatih,Rezidans,4+1,242,313,16-20,1,11,4,Yok,Doğalgaz,Var,Evet,Eşyasız,1837560
Şanlıurfa,Çatalca,Daire,1+0,54,68,30+,15,18,2,Yok,Kombi,Yok,Evet,Eşyasız,109731
Şanlıurfa,Beşiktaş,Villa,3+1,448,548,26-30,Bahçe Katı,2,5,Yok,Soba,Açık Otopark,Evet,Eşyasız,929276
Şanlıurfa,Çatalca,Villa,3+1,348,447,16-20,Bahçe Katı,2,3,Yok,Kombi,Kapalı Otopark,Hayır,Eşyasız,750928
Konya,Şişli,Dubleks,3+1,329,386,6-10,14,2,3,Var,Soba,Var,Evet,Eşyasız,3113316
Adana,Eminönü,Villa,3+1,476,618,16-20,Bahçe Katı,3,2,Var,Merkezi,Yok,Hayır,Yarı Eşyalı,3709855
Şanlıurfa,Bakırköy,Villa,4+1,245,285,11-15,Bahçe Katı,1,2,Var,Soba,Kapalı Otopark,Hayır,Yarı Eşyalı,1293396
İstanbul,Büyükçekmece,Villa,2+1,494,568,30+,Bahçe Katı,2,1,Yok,Doğalgaz,Yok,Hayır,Eşyasız,10213060
Şanlıurfa,Kartal,Tripleks,5+1,251,284,11-15,9,16,1,Var,Yerden Isıtma,Kapalı Otopark,Evet,Yarı Eşyalı,1232367
Mersin,Pendik,Rezidans,1+0,143,180,6-10,3,10,1,Var,Merkezi,Açık Otopark,Evet,Yarı Eşyalı,964635
Samsun,Beylikdüzü,Dubleks,1+0,236,280,30+,2,4,3,Var,Kombi,Var,Hayır,Eşyasız,520594
Konya,Arnavutköy,Müstakil Ev,4+2,242,307,11-15,Bahçe Katı,1,5,Var,Klima,Yok,Hayır,Eşyalı,1246536
Denizli,Bahçelievler,Rezidans,2+1,103,131,16-20,10,5,4,Yok,Merkezi,Kapalı Otopark,Evet,Yarı Eşyalı,575792
Mersin,Eminönü,Rezidans,4+2,105,116,16-20,1,11,3,Var,Kombi,Kapalı Otopark,Evet,Yarı Eşyalı,382589
Mersin,Maltepe,Villa,5+1,205,261,6-10,Bahçe Katı,3,1,Var,Soba,Açık Otopark,Evet,Eşyalı,1949759
Eskişehir,Silivri,Rezidans,5+1,130,145,30+,2,20,2,Yok,Doğalgaz,Yok,Hayır,Eşyasız,324809
Mersin,Bakırköy,Daire,2+1,113,129,26-30,2,6,5,Var,Doğalgaz,Açık Otopark,Evet,Eşyasız,609569
İzmir,Maltepe,Rezidans,5+1,126,141,30+,5,16,2,Var,Klima,Kapalı Otopark,Hayır,Yarı Eşyalı,828931
Adana,Maltepe,Villa,5+2,472,608,16-20,Bahçe Katı,2,3,Yok,Klima,Açık Otopark,Evet,Eşyasız,2406768
İstanbul,Eminönü,Tripleks,4+2,220,266,0-5,14,17,5,Var,Yerden Isıtma,Yok,Evet,Eşyalı,4327295
Kayseri,Çankaya,Müstakil Ev,4+1,212,248,21-25,Bahçe Katı,3,5,Var,Yerden Isıtma,Var,Evet,Yarı Eşyalı,991255
Bursa,Kartal,Dubleks,1+0,328,361,21-25,9,15,2,Var,Doğalgaz,Kapalı Otopark,Evet,Eşyasız,2491517
Gaziantep,Çatalca,Rezidans,1+0,244,282,30+,15,9,5,Yok,Klima,Açık Otopark,Evet,Yarı Eşyalı,627959
Bursa,Avcılar,Tripleks,3+1,342,437,11-15,1,16,5,Var,Yerden Isıtma,Açık Otopark,Hayır,Eşyalı,3449610
Gaziantep,Merkez,Tripleks,3+1,175,216,26-30,5,5,4,Yok,Doğalgaz,Var,Evet,Eşyalı,761586
Eskişehir,Merkez,Daire,1+1,47,56,16-20,15,15,4,Var,Kombi,Var,Hayır,Eşyasız,272051
Samsun,Kadıköy,Tripleks,2+1,166,211,21-25,14,14,5,Yok,Kombi,Açık Otopark,Hayır,Yarı Eşyalı,1155280
İzmir,Şişli,Rezidans,4+2,88,105,26-30,1,15,2,Var,Yerden Isıtma,Var,Evet,Eşyasız,815010
Kayseri,Kadıköy,Villa,1+1,298,353,6-10,Bahçe Katı,3,4,Yok,Kombi,Yok,Evet,Yarı Eşyalı,1418360
İstanbul,Çankaya,Daire,1+1,52,65,21-25,11,9,3,Var,Yerden Isıtma,Açık Otopark,Hayır,Eşyasız,890644
İstanbul,Küçükçekmece,Rezidans,4+2,206,263,30+,8,20,1,Yok,Merkezi,Yok,Hayır,Yarı Eşyalı,2857661
Denizli,Pendik,Rezidans,5+2,250,303,30+,10,19,2,Var,Soba,Açık Otopark,Hayır,Yarı Eşyalı,1030183
Adana,Silivri,Daire,1+0,61,74,11-15,13,6,1,Var,Soba,Kapalı Otopark,Evet,Yarı Eşyalı,291746
Diyarbakır,Eminönü,Daire,3+1,105,129,6-10,10,16,5,Yok,Kombi,Kapalı Otopark,Hayır,Eşyalı,628102
Gaziantep,Fatih,Rezidans,1+1,120,144,21-25,3,10,3,Var,Soba,Kapalı Otopark,Evet,Yarı Eşyalı,770558
Denizli,Kadıköy,Müstakil Ev,4+1,233,289,6-10,Bahçe Katı,3,1,Yok,Soba,Kapalı Otopark,Evet,Eşyalı,2236466
Adana,Pendik,Tripleks,4+2,314,407,21-25,8,15,1,Var,Kombi,Yok,Evet,Yarı Eşyalı,1574283
Mersin,Büyükçekmece,Tripleks,5+2,151,191,16-20,6,13,3,Yok,Kombi,Yok,Hayır,Yarı Eşyalı,1291692
Eskişehir,Beylikdüzü,Dubleks,3+1,304,350,16-20,3,11,5,Yok,Kombi,Yok,Evet,Eşyasız,2471415
Antalya,Fatih,Villa,4+1,437,493,26-30,Bahçe Katı,2,2,Var,Yerden Isıtma,Var,Hayır,Yarı Eşyalı,6094168
Adana,Fatih,Rezidans,2+1,239,285,26-30,13,7,4,Var,Klima,Kapalı Otopark,Evet,Yarı Eşyalı,1208000
Bursa,Üsküdar,Dubleks,1+0,197,220,21-25,8,3,2,Var,Doğalgaz,Açık Otopark,Evet,Yarı Eşyalı,1014672
İstanbul,Ataşehir,Rezidans,2+1,247,289,16-20,6,4,4,Yok,Klima,Yok,Hayır,Yarı Eşyalı,6401521
Samsun,Bakırköy,Tripleks,1+1,308,391,11-15,13,12,4,Yok,Doğalgaz,Var,Evet,Eşyalı,1756988
